index_name,elevation_class,slope_0.05,slope_0.50,slope_0.95,Delta1
cool_days,Lowland (<=200 m),-0.6531172484213629,-2.5062458043727385,-8.106147639047682,-7.45303039062632
cool_days,Mid-elevation (200-1500 m),-0.8454007665794258,-2.1960997918206955,-8.107837685747972,-7.262436919168546
cool_days,Highland (>1500 m),-1.2830404587931357,-2.33917598730689,-7.473245574258246,-6.19020511546511
cool_nights,Lowland (<=200 m),-0.7254720179754375,-2.701451289425086,-9.392855649691812,-8.667383631716376
cool_nights,Mid-elevation (200-1500 m),-0.834975956176411,-3.14458969656857,-9.340596600523101,-8.50562064434669
cool_nights,Highland (>1500 m),0.6954136524288093,0.2778700940003841,-2.7455084260374756,-3.440922078466285
warm_days,Lowland (<=200 m),6.269288301828512,8.90527948681099,11.31815341840225,5.048865116573739
warm_days,Mid-elevation (200-1500 m),6.118846162828534,9.083315891511475,9.630646741514644,3.5118005786861106
warm_days,Highland (>1500 m),6.616823598404002,9.181490833137593,14.091838232278576,7.475014633874574
warm_nights,Lowland (<=200 m),15.909115772438335,18.42692558839846,17.74052788774489,1.8314121153065541
warm_nights,Mid-elevation (200-1500 m),9.967472864690391,14.252729338843766,16.219931368451565,6.252458503761175
warm_nights,Highland (>1500 m),5.06381039251445,6.5758995132548845,6.950090964392186,1.8862805718777367
